conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ARCHAEOLOGICAL_COMPONENT_1,Keramik,,ARCHAEOLOGICAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_1100,Gefaess,,ARCHAEOLOGICAL_COMPONENT_1,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_110010,Schuessel,,ARCHAEOLOGICAL_COMPONENT_1100,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_11001010,Konische Schuessel,,ARCHAEOLOGICAL_COMPONENT_110010,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_11001011,Beckenfoermige Schuessel,,ARCHAEOLOGICAL_COMPONENT_110010,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_11001012,Kalottenfoermige Schuessel,,ARCHAEOLOGICAL_COMPONENT_110010,Index,i3mainz
			ARCHAEOLOGICAL_COMOPNENT_11001013,Knickwandschuessel,,ARCHAEOLOGICAL_COMPONENT_110010,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_110011,Becher,,ARCHAEOLOGICAL_COMPONENT_1100,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_11001110,Beutelbecher,,ARCHAEOLOGICAL_COMPONENT_110011,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_11001111,Tulpenbecher,,ARCHAEOLOGICAL_COMPONENT_110011,Index,i3mainz
				ARCHAEOLOGICAL_COMPONENT_1100111110,Gefliederter Tulpenbecher,,ARCHAEOLOGICAL_COMPONENT_11001111,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_110012,Flasche,,ARCHAEOLOGICAL_COMPONENT_1100,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_11001210,Oesenleistenflasche,,ARCHAEOLOGICAL_COMPONENT_110012,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_11001211,Oesenkranzflasche,,ARCHAEOLOGICAL_COMPONENT_110012,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_110013,Schoepfer,,ARCHAEOLOGICAL_COMPONENT_1100,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_110014,Vorratsgefaess,,ARCHAEOLOGICAL_COMPONENT_1100,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_1200,Gefaessfragment,,ARCHAEOLOGICAL_COMPONENT_1,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_120010,Rand,,ARCHAEOLOGICAL_COMPONENT_1200,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_12001010,Ausladender Rand,,ARCHAEOLOGICAL_COMPONENT_120010,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_12001011,Arkadenrand,,ARCHAEOLOGICAL_COMPONENT_120010,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_12001012,Ausgestellter Rand,,ARCHAEOLOGICAL_COMPONENT_120010,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_120011,Oese,,ARCHAEOLOGICAL_COMPONENT_1200,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_12001110,Subcutane Oese,,ARCHAEOLOGICAL_COMPONENT_120011,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_1300,Keramik-mix,,ARCHAEOLOGICAL_COMPONENT_1,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_1350,Keramik indifferent,,ARCHAEOLOGICAL_COMPONENT_1,Index,i3mainz
ARCHAEOLOGICAL_COMPONENT_2,Steinwerkzeug,,ARCHAEOLOGICAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_2100,Felssteinwerkzeug,,ARCHAEOLOGICAL_COMPONENT_2,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_210010,Beil,,ARCHAEOLOGICAL_COMPONENT_2100,Index,i3mainz
			ARCHAEOLOGICAL_COMPONENT_21001010,Spitznackiges Beil,,ARCHAEOLOGICAL_COMPONENT_210010,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_2200,Silex,,ARCHAEOLOGICAL_COMPONENT_2,Index,i3mainz
ARCHAEOLOGICAL_COMPONENT_3,Architektur,,ARCHAEOLOGICAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_3100,Befestigung,,ARCHAEOLOGICAL_COMPONENT_3,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_310010,Palisade,,ARCHAEOLOGICAL_COMPONENT_3100,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_310011,Wall,,ARCHAEOLOGICAL_COMPONENT_3100,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_310012,Graben,,ARCHAEOLOGICAL_COMPONENT_3100,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_3200,Baumaterial,,ARCHAEOLOGICAL_COMPONENT_3,Index,i3mainz
		ARCHAEOLOGICAL_COMPONENT_320010,Huettenlehm,,ARCHAEOLOGICAL_COMPONENT_3200,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_3300,Grube,,ARCHAEOLOGICAL_COMPONENT_3,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_3400,Pfosten,,ARCHAEOLOGICAL_COMPONENT_3,Index,i3mainz
ARCHAEOLOGICAL_COMPONENT_5,Knochen,,ARCHAEOLOGICAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_5100,Menschenknochen,,ARCHAEOLOGICAL_COMPONENT_5,Index,i3mainz
	ARCHAEOLOGICAL_COMPONENT_5400,Tierknochen,,ARCHAEOLOGICAL_COMPONENT_5,Index,i3mainz
ARCHAEOLOGICAL_COMPONENT_6,Erdschicht,,ARCHAEOLOGICAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
