conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
ARCHAEOLOGICAL_TECHNIQUE_1,geschnitzt,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_2,getrocknet,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_3,ausgegraben,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_4,gebrannt,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_5,geschmiedet,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHACOLOGICAL_TECHNIQUE_6,eingeschnitten,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_7,geschnitzt,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_8,gegossen,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
	ARCHAEOLOGICAL_TECHNIQUE_8000,Wachsausschmelzverfahren,Verlorene Form,ARCHAEOLOGICAL_TECHNIQUE_8,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_9,gemauert,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
	ARCHAEOLOGICAL_TECHNIQUE_9000,opus caementicium,,ARCHAEOLOGICAL_TECHNIQUE_9,Index,i3mainz
	ARCHAEOLOGICAL_TECHNIQUE_9001,opus quadratum,,ARCHAEOLOGICAL_TECHNIQUE_9,Index,i3mainz
	ARCHAEOLOGICAL_TECHNIQUE_9002,opus reticulatum,,ARCHAEOLOGICAL_TECHNIQUE_9,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_11,gepflastert,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
ARCHAEOLOGICAL_TECHNIQUE_12,abgebaut,,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,Index,i3mainz
