conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
CROSS_REFERENCE_RELATIONSHIP_1,ist verwandt mit,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_2,ist enthalten in / enthaelt,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_3,wurde identifiziert in / identifiziert,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_4,wurde beurteilt in / beurteilt,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_5,wird bezogen auf / bezieht sich auf,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_6,wird repraesentiert von / repraesentiert,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_7,Urheber,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
	CROSS_REFERENCE_RELATIONSHIP_7000,Erbauer,,CROSS_REFERENCE_RELATIONSHIP_7,Index,i3mainz
	CROSS_REFERENCE_RELATIONSHIP_7001,Architekt,,CROSS_REFERENCE_RELATIONSHIP_7,Index,i3mainz
	CROSS_REFERENCE_RELATIONSHIP_7002,Maler,,CROSS_REFERENCE_RELATIONSHIP_7,Index,i3mainz
	CROSS_REFERENCE_RELATIONSHIP_7003,Bildhauer,,CROSS_REFERENCE_RELATIONSHIP_7,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_8,Forscher,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
	CROSS_REFERENCE_RELATIONSHIP_8000,Ausgraeber,,CROSS_REFERENCE_RELATIONSHIP_8,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_9,Mitglied,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_10,Besitzer,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
	CROSS_REFERENCE_RELATIONSHIP_10000,Urheberrechtsinhaber,,CROSS_REFERENCE_RELATIONSHIP_10,Index,i3mainz
CROSS_REFERENCE_RELATIONSHIP_11,Teilnehmer,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,i3mainz
