conceptid,Value,ValueType,Provider 
CROSS_REFERENCE_RELATIONSHIP_1,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_2,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_3,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_4,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_5,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_6,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_7,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_7000,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_7001,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_7002,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_7003,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_8,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_8000,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_9,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_10,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_10000,resource cross-reference,cross-reference type filter,i3mainz
CROSS_REFERENCE_RELATIONSHIP_11,resource cross-reference,cross-reference type filter,i3mainz
