conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
PERIOD_1,Steinzeit,,CULTURAL PERIOD AUTHORITY DOCUMENT.csv,Index,i3mainz
	PERIOD_11,Palaeolthikum,Altsteinzeit,PERIOD_1,Index,i3mainz
	PERIOD_12,Mesolithikum,Mittelsteinzeit,PERIOD_1,Index,i3mainz
		PERIOD_1210,Mesolithikum Norddeutschland Suedskandinavien,,PERIOD_12,Index,i3mainz
			PERIOD_12100,Endmesolithikum,,PERIOD_1210,Index,i3mainz
				PERIOD_1210010,Erteboelle Kultur,,PERIOD_12100,Index,i3mainz
				PERIOD_1210011,Jaeckelberg,,PERIOD_12100,Index,i3mainz
				PERIOD_1210013,Rosenfelde,,PERIOD_12100,Index,i3mainz
				PERIOD_1210014,Jarbock,,PERIOD_12100,Index,i3mainz
				PERIOD_1210015,Timmendorf,,PERIOD_12100,Index,i3mainz
				PERIOD_1210016,Trylleskoven,,PERIOD_12100,Index,i3mainz
				PERIOD_1210017,Stationsvey,,PERIOD_12100,Index,i3mainz
				PERIOD_1210018,Alekistebro,,PERIOD_12100,Index,i3mainz
	PERIOD_13,Neolithikum,Jungsteinzeit,PERIOD_1,Index,i3mainz
		PERIOD_1310,Neolithikum Sued und Mitteldeutschland,,PERIOD_13,Index,i3mainz
			PERIOD_13100,Altneolithikum,Fruehneolithikum,PERIOD_1310,Index,i3mainz
				PERIOD_1310010,La Hoguette,,PERIOD_13100,Index,i3mainz
				PERIOD_1310011,Linienbandkeramik,LBK,PERIOD_13100,Index,i3mainz
					PERIOD_131001110,LBK I,Aelteste Bandkeramik,PERIOD_1310011,Index,i3mainz
					PERIOD_131001111,LBK II,Aeltere Bandkeramik,PERIOD_1310011,Index,i3mainz
					PERIOD_131001112,LBK III,Mittlere Bandkeramik,PERIOD_1310011,Index,i3mainz
						PERIOD_13100111210,LBK IIIb,,PERIOD_131001112,Index,i3mainz
					PERIOD_131001113,LBK IV,Juengere Bandkeramik,PERIOD_1310011,Index,i3mainz
					PERIOD_131001114,LBK V,Juengste Bandkeramik,PERIOD_1310011,Index,i3mainz
						PERIOD_1310011410,LBK Va,,PERIOD_13100114,Index,i3mainz
						PERIOD_1310011411,LBK Vb,,PERIOD_13100114,Index,i3mainz
				PERIOD_1310012,Flomborn,,PERIOD_13100,Index,i3mainz
			PERIOD_13101,Mittelneolithikum,,PERIOD_1310,Index,i3mainz
				PERIOD_1310110,Hinkelstein,,PERIOD_13101,Index,i3mainz
					PERIOD_131011010,Fruehe Hinkelstein,,PERIOD_1310110,Index,i3mainz
					PERIOD_131011011,Mittlere Hinkelstein,,PERIOD_1310110,Index,i3mainz
					PERIOD_131011012,Spaete Hinkelstein,,PERIOD_1310110,Index,i3mainz
				PERIOD_1310111,Grossgartach,,PERIOD_13101,Index,i3mainz
					PERIOD_131011110,Fruehes Grossgartach,,PERIOD_1310111,Index,i3mainz
					PERIOD_131011111,Mittlere Grossgartach,,PERIOD_1310111,Index,i3mainz
					PERIOD_131011112,Spaetes Grossgartach,,PERIOD_1310111,Index,i3mainz
				PERIOD_1310112,Stichband,,PERIOD_13101,Index,i3mainz
				PERIOD_1310113,Roessen,,PERIOD_13101,Index,i3mainz
					PERIOD_131011310,Roessen I,,PERIOD_1310113,Index,i3mainz
					PERIOD_131011311,Roessen II,,PERIOD_1310113,Index,i3mainz
					PERIOD_131011312,Roessen III,,PERIOD_1310113,Index,i3mainz
				PERIOD_1310114,Bischheim,,PERIOD_13101,Index,i3mainz
					PERIOD_131011410,Fruehes Bischheim,,PERIOD_1310114,Index,i3mainz
				PERIOD_1310115,Muenchshoefen,,PERIOD_13101,Index,i3mainz
			PERIOD_13102,Jungneolithikum,,PERIOD_1310,Index,i3mainz
				PERIOD_1310210,Aichbuehl,,PERIOD_13102,Index,i3mainz
