conceptid,Value,ValueType,Provider
PERIOD_1,1,sortorder,i3mainz
PERIOD_1,-2500000,minimum date,i3mainz
PERIOD_1,-2200,maximum date,i3mainz
	PERIOD_11,2,sortorder,i3mainz
	PERIOD_11,-2500000,minimum date,i3mainz
	PERIOD_11,-8000,maximum date,i3mainz
	PERIOD_12,1000,sortorder,i3mainz
	PERIOD_12,-8000,minimum date,i3mainz
	PERIOD_12,-4000,maximum date,i3mainz
		PERIOD_1210,1500,sortorder,i3mainz
		PERIOD_1210,-10000,minimum date,i3mainz
		PERIOD_1210,-4000,maximum date,i3mainz
			PERIOD_12100,1700,sortorder,i3mainz
			PERIOD_12100,-5400,minimum date,i3mainz
			PERIOD_12100,-4000,maximum date,i3mainz
				PERIOD_1210010,1701,sortorder,i3mainz
				PERIOD_1210010,-5450,minimum date,i3mainz
				PERIOD_1210010,-3900,maximum date,i3mainz
				PERIOD_1210011,1702,sortorder,i3mainz
				PERIOD_1210011,-5350,minimum date,i3mainz
				PERIOD_1210011,-5250,maximum date,i3mainz
				PERIOD_1210016,1703,sortorder,i3mainz
				PERIOD_1210016,-5150,minimum date,i3mainz
				PERIOD_1210016,-5000,maximum date,i3mainz
				PERIOD_1210013,1704,sortorder,i3mainz
				PERIOD_1210013,-5000,minimum date,i3mainz
				PERIOD_1210013,-4850,maximum date,i3mainz
				PERIOD_1210014,1705,sortorder,i3mainz
				PERIOD_1210014,-4600,minimum date,i3mainz
				PERIOD_1210014,-4500,maximum date,i3mainz
				PERIOD_1210017,1706,sortorder,i3mainz
				PERIOD_1210017,-4600,minimum date,i3mainz
				PERIOD_1210017,-4400,maximum date,i3mainz
				PERIOD_1210015,1707,sortorder,i3mainz
				PERIOD_1210015,-4300,minimum date,i3mainz
				PERIOD_1210015,-4100,maximum date,i3mainz
				PERIOD_1210018,1708,sortorder,i3mainz
				PERIOD_1210018,-4150,minimum date,i3mainz
				PERIOD_1210018,-3900,maximum date,i3mainz
	PERIOD_13,2000,sortorder,i3mainz
	PERIOD_13,-5500,minimum date,i3mainz
	PERIOD_13,-2200,maximum date,i3mainz
		PERIOD_1310,2001,sortorder,i3mainz
		PERIOD_1310,-5500,minimum date,i3mainz
		PERIOD_1310,-2200,maximum date,i3mainz
			PERIOD_13100,2002,sortorder,i3mainz
			PERIOD_13100,-5500,minimum date,i3mainz
			PERIOD_13100,-5000,maximum date,i3mainz
				PERIOD_1310010,2003,sortorder,i3mainz
				PERIOD_1310010,-5500,maximum date,i3mainz
				PERIOD_1310010,-5400,minimum date,i3mainz
				PERIOD_1310011,2004,sortorder,i3mainz
				PERIOD_1310011,-5500,minimum date,i3mainz
				PERIOD_1310011,-5000,maximum date,i3mainz
					PERIOD_131001110,2005,sortorder,i3mainz
					PERIOD_131001110,-5500,minimum date,i3mainz
					PERIOD_131001110,-5300,maximum date,i3mainz
					PERIOD_131001111,2006,sortorder,i3mainz
					PERIOD_131001111,-5300,minimum date,i3mainz
					PERIOD_131001111,-5200,maximum date,i3mainz
					PERIOD_131001112,2007,sortorder,i3mainz
					PERIOD_131001112,-5200,minimum date,i3mainz
