conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
GEOMETRY_QUALIFIER_1,Flaeche,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,i3mainz
		GEOMETRY_QUALIFIER_1000,Interpoliert,,GEOMETRY_QUALIFIER_1,Index,i3mainz
	GEOMETRY_QUALIFIER_11,Polygon,,GEOMETRY_QUALIFIER_1,Index,i3mainz
		GEOMETRY_QUALIFIER_1100,Ausmass,,GEOMETRY_QUALIFIER_11,Index,i3mainz
		GEOMETRY_QUALIFIER_1101,Grundflaeche,,GEOMETRY_QUALIFIER_11,Index,i3mainz
		GEOMETRY_QUALIFIER_1102,Puffer,,GEOMETRY_QUALIFIER_11,Index,i3mainz
		GEOMETRY_QUALIFIER_1103,Umkreis,,GEOMETRY_QUALIFIER_11,Index,i3mainz
GEOMETRY_QUALIFIER_2,Linie,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,i3mainz
	GEOMETRY_QUALIFIER_2000,Grenze,,GEOMETRY_QUALIFIER_2,Index,i3mainz
	GEOMETRY_QUALIFIER_2001,Mittelachse,,GEOMETRY_QUALIFIER_2,Index,i3mainz
GEOMETRY_QUALIFIER_3,Punkt,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,i3mainz
	GEOMETRY_QUALIFIER_3000,Bezugspunkt,,GEOMETRY_QUALIFIER_3,Index,i3mainz
	GEOMETRY_QUALIFIER_3001,Mittelpunkt,,GEOMETRY_QUALIFIER_3,Index,i3mainz
	GEOMETRY_QUALIFIER_3002,Anschlusspunkt,,GEOMETRY_QUALIFIER_3,Index,i3mainz
GEOMETRY_QUALIFIER_4,Literaturangabe,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,i3mainz
GEOMETRY_QUALIFIER_5,Katasterangabe,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,i3mainz
	GEOMETRY_QUALIFIER_5000,Flur,,GEOMETRY_QUALIFIER_5,Index,i3mainz
	GEOMETRY_QUALIFIER_5001,Ortsteil,,GEOMETRY_QUALIFIER_5,Index,i3mainz
GEOMETRY_QUALIFIER_6,Ungenau,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,i3mainz
	GEOMETRY_QUALIFIER_6000,Sekundaere Fundstelle,,GEOMETRY_QUALIFIER_6,Index,i3mainz
	GEOMETRY_QUALIFIER_6001,Lage unbekannt,,GEOMETRY_QUALIFIER_6,Index,i3mainz
	GEOMETRY_QUALIFIER_6002,Lage ungefaehr,,GEOMETRY_QUALIFIER_6,Index,i3mainz
