conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
MATERIAL_10000,Gestein,,MATERIAL AUTHORITY DOCUMENT.csv,Index,i3mainz
	MATERIAL_10001,Silex,Feuerstein,MATERIAL_10000,Index,i3mainz
	MATERIAL_10002,Felsgestein,,MATERIAL_10000,Index,i3mainz
MATERIAL_20000,Metalle,,MATERIAL AUTHORITY DOCUMENT.csv,Index,i3mainz
	MATERIAL_20001,Edelmetalle,,MATERIAL_20000,Index,i3mainz
	MATERIAL_20100,Halbmetalle,,MATERIAL_20000,Index,i3mainz
	MATERIAL_20200,Unedle Metalle,,MATERIAL_20000,Index,i3mainz
	MATERIAL_20300,Legierungen,,MATERIAL_20000,Index,i3mainz
MATERIAL_30000,Glas,,MATERIAL AUTHORITY DOCUMENT.csv,Index,i3mainz
MATERIAL_40000,Holz,,MATERIAL AUTHORITY DOCUMENT.csv,Index,i3mainz
MATERIAL_60000,Ton,,MATERIAL AUTHORITY DOCUMENT.csv,Index,i3mainz
MATERIAL_70000,Tierische Nebenprodukte,,MATERIAL AUTHORITY DOCUMENT.csv,Index,i3mainz
	MATERIAL_70001,Knochen,,MATERIAL_70000,Index,i3mainz
	MATERIAL_70002,Elfenbein,,MATERIAL_70000,Index,i3mainz
	MATERIAL_70003,Fell,,MATERIAL_70000,Index,i3mainz
	MATERIAL_70004,Haut,,MATERIAL_70000,Index,i3mainz
	MATERIAL_70005,Leder,,MATERIAL_70000,Index,i3mainz
MATERIAL_80000,Keramik,,MATERIAL AUTHORITY DOCUMENT.csv,Index,i3mainz
	MATERIAL_80001,Irdenware,Irdengut,MATERIAL_80000,Index,i3mainz
	MATERIAL_80002,Steingut,,MATERIAL_80000,Index,i3mainz
	MATERIAL_80003,Steinzeug,,MATERIAL_80000,Index,i3mainz
	MATERIAL_80004,Porzellan,,MATERIAL_80000,Index,i3mainz
