conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
TYPE_1,Baudenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_2,Gartendenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_3,Flurdenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_4,Kleindenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_5,Bodendenkmal,Archaeologisches Denkmal,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_6,Technisches Denkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_7,Industriedenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_8,Verkehrsdenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_9,Klangdenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_10,Kunstdenkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_11,Sammlung,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_12,Bewegliches Denkmal,,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
TYPE_13,Gesamtanlage,Ensembledenkmal,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,Index,i3mainz
