conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
UNIT_OF_MEASUREMENT_TYPE_1,Millimeter,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_2,Zentimeter,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_3,Meter,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_4,Kilometer,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_5,Zoll,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_6,Fuss,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_7,Yard,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_8,Meile,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_9,Gramm,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_10,Kilogramm,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_11,Unze,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_12,Pfund,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
UNIT_OF_MEASUREMENT_TYPE_13,Tonne,,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,i3mainz
