conceptid,Value,ValueType,Provider 
UNIT_OF_MEASUREMENT_TYPE_1,1,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_2,2,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_3,3,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_4,4,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_5,5,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_6,6,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_7,7,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_8,8,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_9,9,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_10,10,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_11,11,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_12,12,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT_TYPE_13,13,sortorder,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,Index,GCI
