Source,Target,Type,Id,Label
ARCHAEOLOGICAL HERITAGE.E27:SUBJECT.E55,ARCHAEOLOGICAL HERITAGE.E27:SUBJECT AUTHORITY DOCUMENT.E32,Directed,350,-P71
ARCHAEOLOGICAL HERITAGE.E27:TYPE OF DESIGNATION OR PROTECTION.E55,ARCHAEOLOGICAL HERITAGE.E27:TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.E32,Directed,351,-P71
ARCHAEOLOGICAL HERITAGE.E27:PLACE_SITE LOCATION.E53,ARCHAEOLOGICAL HERITAGE.E27:DESCRIPTION OF LOCATION.E62,Directed,354,P3
ARCHAEOLOGICAL HERITAGE.E27:MEASUREMENT TYPE.E55,ARCHAEOLOGICAL HERITAGE.E27:UNIT OF MEASUREMENT.E58,Directed,355,P91
ARCHAEOLOGICAL HERITAGE.E27:MEASUREMENT TYPE.E55,ARCHAEOLOGICAL HERITAGE.E27:MEASUREMENT TYPE AUTHORITY DOCUMENT.E32,Directed,356,-P71
ARCHAEOLOGICAL HERITAGE.E27:CONDITION ASSESSMENT.E14,ARCHAEOLOGICAL HERITAGE.E27:CONDITION STATE.E3,Directed,357,P35
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE (SITE) TYPE.E55,ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE (SITE) TYPE AUTHORITY DOCUMENT.E32,Directed,358,-P71
ARCHAEOLOGICAL HERITAGE.E27:PRODUCTION.E12,ARCHAEOLOGICAL HERITAGE.E27:PHASE TYPE ASSIGNMENT.E17,Directed,362,-P41
ARCHAEOLOGICAL HERITAGE.E27:ADMINISTRATIVE SUBDIVISION.E48,255,Directed,472,-P71
ARCHAEOLOGICAL HERITAGE.E27:ADMINISTRATIVE SUBDIVISION.E48,256,Directed,470,P2
